,30-3,10-3,30-5,10-5,30-7,10-7
NOW,0.08149138584831764,0.0060045755981830255,0.0,-0.017482561170170007,0.0,0.0
AMD,0.08006109726853981,0.014019982505545947,0.08927017611768016,0.0003307858962619375,0.10601358707307494,-0.016586942315660963
ALGN,0.06297125305201763,-0.004891628048713601,0.07988281318277177,-0.028123472415430315,0.0878939628984007,-0.05819017551873875
CPRT,0.060348914673827456,0.013897472767244297,0.06474636304202516,0.012586360166589148,0.07258973174951518,0.013014706387596296
FBHS,0.05443500020509212,0.024003453885714912,0.0507669471229758,0.03936434275095406,0.054295097521030275,0.09191872847070641
TDG,0.05270449335365254,0.01054941691309173,0.05221609380075161,0.010495566545661934,0.052391598912893036,0.009525670521520205
NRG,0.05269837059978958,0.010364989946873324,0.054896639427663436,0.010341320872210107,0.058258314342786076,-0.0010384788481084815
NFLX,0.050603017542939326,0.011993129315562666,0.04757245667849743,0.0189792192435212,0.04884564843583454,0.035323316512517196
NVDA,0.04922331807188481,0.017958321912306882,0.04072236829586164,0.013366208992812177,0.02759197817878374,0.016222645961377048
ILMN,0.049216437085618625,0.00858485363170516,0.05165068405431781,0.012963631546026255,0.05786879271351681,0.02130456960040502
ROST,0.04876147110224185,0.006342512433150854,0.05240813596553168,0.004853713069847274,0.05334563660435764,0.008362953117700694
LYV,0.04830728331796064,0.01380884589281637,0.05445572290284691,0.016048630903161734,0.058858377636360995,0.00574118571772458
PSX,0.04622395558100005,0.006056934967256078,0.04093480237749686,-0.003995022707851731,0.05248633598995495,-0.01573828947660794
MA,0.04620742626718769,0.002994433543988876,0.04602556092118458,0.0003228132387005856,0.04955122533765862,0.0021612336844928186
FTNT,0.045488990978670936,0.0023663630503820885,0.038234924099876826,0.00047744651169928664,0.03180379805609233,0.0037679225926060913
XRX,0.045113532686617865,0.005076817702269676,0.051761440530821344,-0.0027321892787194064,0.06003466597559125,-0.00045798776866487934
MSCI,0.045001749072384994,0.013365354942699737,0.04251280441274116,0.013810224203484853,0.038359549296279084,0.016812363928452412
MSFT,0.04494042154225518,0.009720332957741823,0.045499366657660904,0.007113188201844525,0.05089335416794214,0.009837168151954834
J,0.04356863440750149,0.0044351818938195816,0.0545306544346479,0.0012962066072041995,0.06658042147067947,-0.0006744973748493755
MU,0.04338088939113965,0.0003502663380660128,0.05076846771090771,-0.008250928457209112,0.05863123792116722,-0.009238927210235247
DG,0.04264791352227107,0.006105444742633033,0.04258710616404227,0.007905789984799683,0.04107951700761321,0.008702981032794085
NTAP,0.0425146851292592,-0.003576431280436843,0.04555840524570096,-0.004420063391199723,0.04926496769913088,-0.019056188501015668
LRCX,0.04227591283607986,0.010835412568150437,0.04245601160046507,0.0031673351372206505,0.04206499606939423,-0.006609375976631731
SBAC,0.042169936002348654,0.0026800433035601124,0.04744012752172892,-0.0018636475878714494,0.055794359327473196,-0.010793641510553158
APTV,0.041691076294788035,0.007159377140332636,0.04777457922607735,-0.0013990051105517204,0.04981519455009982,-0.04107273497356205
EW,0.04130504383750757,0.011503008605116332,0.04486781414664949,0.01034406139883605,0.050775832069107824,0.018623123527215416
ISRG,0.04125620112064029,0.009316788411194755,0.04402869489349176,0.016108341361690974,0.0499760027884791,0.02148467349947968
