,30-3,10-3,30-5,10-5,30-7,10-7
TDG,0.8611111111111112,0.6226415094339622,0.8848167539267016,0.671875,0.8823529411764706,0.5882352941176471
APTV,0.8588235294117647,0.5254237288135594,0.9322033898305084,0.45454545454545453,0.975,0.25
MA,0.8484848484848485,0.5797872340425532,0.8503937007874016,0.5698924731182796,0.8536585365853658,0.6285714285714286
MSFT,0.8390243902439024,0.6809815950920245,0.8248175182481752,0.6417910447761194,0.8602150537634409,0.65
NEE,0.8201058201058201,0.7083333333333334,0.859375,0.7333333333333333,0.9247311827956989,0.8571428571428571
VRSN,0.8167330677290837,0.6646706586826348,0.824468085106383,0.6984126984126984,0.7898550724637681,0.8461538461538461
CPRT,0.8075117370892019,0.6524064171122995,0.810126582278481,0.5853658536585366,0.819672131147541,0.5172413793103449
SO,0.8048780487804879,0.6139240506329114,0.7916666666666666,0.5625,0.7619047619047619,0.5769230769230769
PLD,0.7991452991452992,0.5962732919254659,0.8164556962025317,0.5409836065573771,0.7870370370370371,0.25
TJX,0.7894736842105263,0.5578231292517006,0.8181818181818182,0.391304347826087,0.831858407079646,0.3333333333333333
V,0.782608695652174,0.639751552795031,0.7785714285714286,0.5901639344262295,0.7692307692307693,0.625
AEE,0.7777777777777778,0.6744186046511628,0.7943262411347518,0.6349206349206349,0.797752808988764,0.6190476190476191
ACN,0.7729257641921398,0.6436781609195402,0.8108108108108109,0.5616438356164384,0.8217821782178217,0.4583333333333333
MCO,0.7727272727272727,0.6079545454545454,0.7628205128205128,0.5942028985507246,0.7363636363636363,0.5333333333333333
STE,0.7711864406779662,0.6790123456790124,0.7885714285714286,0.7419354838709677,0.8,0.8
AEP,0.7633928571428571,0.6536312849162011,0.8108108108108109,0.5853658536585366,0.8469387755102041,0.5
RSG,0.7583333333333333,0.6287425149700598,0.75,0.5,0.7372881355932204,0.5294117647058824
LNT,0.7564766839378239,0.6375,0.8440366972477065,0.625,0.9104477611940298,0.6666666666666666
AJG,0.756,0.6341463414634146,0.7741935483870968,0.6376811594202898,0.7835820895522388,0.6190476190476191
DG,0.7551867219917012,0.6428571428571429,0.7528735632183908,0.6956521739130435,0.736,0.7037037037037037
CRM,0.7536231884057971,0.5271739130434783,0.8041958041958042,0.5625,0.8585858585858586,0.6
MKC,0.7532467532467533,0.6149732620320856,0.7662337662337663,0.611764705882353,0.7821782178217822,0.575
ETR,0.7522123893805309,0.6871165644171779,0.7323943661971831,0.7611940298507462,0.711340206185567,0.8518518518518519
ILMN,0.7521739130434782,0.6089385474860335,0.7417218543046358,0.65,0.7291666666666666,0.7
ANTM,0.7490494296577946,0.6424242424242425,0.76,0.671875,0.7449664429530202,0.5882352941176471
FBHS,0.7471264367816092,0.6666666666666666,0.6896551724137931,0.7083333333333334,0.6842105263157895,0.8
CMS,0.7446808510638298,0.6758241758241759,0.7467532467532467,0.620253164556962,0.7549019607843137,0.6153846153846154
ADP,0.743801652892562,0.6538461538461539,0.7717391304347826,0.631578947368421,0.7972972972972973,0.5
JKHY,0.7427184466019418,0.5585106382978723,0.7808219178082192,0.5108695652173914,0.7745098039215687,0.45161290322580644
SRE,0.7420814479638009,0.678082191780822,0.7516778523489933,0.7192982456140351,0.7523809523809524,0.6923076923076923
ARE,0.7407407407407407,0.6182795698924731,0.7664233576642335,0.5730337078651685,0.7875,0.5333333333333333
CBRE,0.7401960784313726,0.7032258064516129,0.7291666666666666,0.7884615384615384,0.7264150943396226,0.9230769230769231
ALL,0.7385892116182573,0.5290697674418605,0.788235294117647,0.5285714285714286,0.8688524590163934,0.44
ISRG,0.7373271889400922,0.5853658536585366,0.7449664429530202,0.6476190476190476,0.7578947368421053,0.7619047619047619
MCD,0.7368421052631579,0.7428571428571429,0.7230769230769231,0.7763157894736842,0.6956521739130435,0.8888888888888888
MSCI,0.7364016736401674,0.6190476190476191,0.7257142857142858,0.675,0.7016129032258065,0.7407407407407407
ATO,0.7352941176470589,0.6352201257861635,0.7109375,0.6551724137931034,0.675,0.7333333333333333
NVR,0.7348837209302326,0.6956521739130435,0.7549668874172185,0.6842105263157895,0.7169811320754716,0.6875
ALGN,0.7343173431734318,0.5764705882352941,0.7638888888888888,0.47692307692307695,0.783625730994152,0.3157894736842105
AES,0.7339055793991416,0.6282051282051282,0.78125,0.7377049180327869,0.8362068965517241,0.7058823529411765
NI,0.7325102880658436,0.6,0.7100591715976331,0.5466666666666666,0.7008547008547008,0.6363636363636364
GPN,0.7314814814814815,0.634020618556701,0.7730496453900709,0.6774193548387096,0.8085106382978723,0.7692307692307693
COST,0.7302904564315352,0.543859649122807,0.7445652173913043,0.4925373134328358,0.7638888888888888,0.5263157894736842
SBAC,0.7298387096774194,0.558282208588957,0.7580645161290323,0.46875,0.8068965517241379,0.35294117647058826
CTAS,0.7298387096774194,0.6484848484848484,0.7371134020618557,0.5416666666666666,0.7564102564102564,0.45
PGR,0.7272727272727273,0.6416184971098265,0.7777777777777778,0.704225352112676,0.8270676691729323,0.8076923076923077
APD,0.7268722466960352,0.6568047337278107,0.7354838709677419,0.6060606060606061,0.7339449541284404,0.7058823529411765
DTE,0.726027397260274,0.6845637583892618,0.75177304964539,0.6909090909090909,0.7976190476190477,0.9285714285714286
AWK,0.7235023041474654,0.6586826347305389,0.7054794520547946,0.676923076923077,0.7428571428571429,0.7647058823529411
MRK,0.7227272727272728,0.6011560693641619,0.777027027027027,0.6521739130434783,0.8282828282828283,0.8695652173913043
VRSK,0.7215189873417721,0.6686046511627907,0.7529411764705882,0.7564102564102564,0.7723577235772358,0.7916666666666666
RMD,0.7206477732793523,0.5961538461538461,0.7128205128205128,0.5538461538461539,0.6928104575163399,0.5625
DOV,0.7204724409448819,0.6585365853658537,0.7172774869109948,0.7428571428571429,0.7338129496402878,0.9047619047619048
ROST,0.7202072538860104,0.6441717791411042,0.6934306569343066,0.639344262295082,0.6634615384615384,0.6
APH,0.7192307692307692,0.5549738219895288,0.73,0.4742268041237113,0.743421052631579,0.39473684210526316
RTN,0.7186147186147186,0.6145251396648045,0.7315436241610739,0.5974025974025974,0.7619047619047619,0.5652173913043478
AXP,0.7178423236514523,0.6050955414012739,0.7470588235294118,0.6481481481481481,0.788135593220339,0.7272727272727273
J,0.7168949771689498,0.5838150289017341,0.7515151515151515,0.5571428571428572,0.7952755905511811,0.5882352941176471
WEC,0.7136563876651982,0.711764705882353,0.7162162162162162,0.6486486486486487,0.711340206185567,0.7272727272727273
LMT,0.7131474103585658,0.6480446927374302,0.7039106145251397,0.5733333333333334,0.7121212121212122,0.6190476190476191
RE,0.711864406779661,0.47752808988764045,0.6949152542372882,0.4675324675324675,0.6788321167883211,0.55
GPC,0.7110266159695817,0.5371428571428571,0.7512437810945274,0.5375,0.7467532467532467,0.5769230769230769
ADBE,0.7102803738317757,0.6264367816091954,0.6896551724137931,0.5822784810126582,0.673469387755102,0.5172413793103449
VFC,0.710204081632653,0.7142857142857143,0.7329842931937173,0.8115942028985508,0.7569444444444444,0.8888888888888888
FB,0.7096774193548387,0.41379310344827586,0.7083333333333334,0.3333333333333333,0.6666666666666666,0.0
UTX,0.708,0.5771428571428572,0.7397959183673469,0.6052631578947368,0.7597402597402597,0.7586206896551724
EL,0.7079646017699115,0.6931818181818182,0.7388535031847133,0.72,0.7857142857142857,0.8333333333333334
PNC,0.7077625570776256,0.5621301775147929,0.7407407407407407,0.5753424657534246,0.7478991596638656,0.5357142857142857
FIS,0.7073170731707317,0.5738636363636364,0.6770186335403726,0.5,0.673469387755102,0.391304347826087
SPGI,0.705607476635514,0.6882352941176471,0.6956521739130435,0.7142857142857143,0.6703296703296703,0.7857142857142857
SHW,0.7031963470319634,0.564625850340136,0.6993865030674846,0.5964912280701754,0.712,0.6
